"PartNo","Qty","Unit","Description","DescriptionSource","SolidWorksMaterial","MaterialReleaseStatus","Configuration","Path","SourceIdentity"
"K01-P-007","1","","Hermetic Magnetic Can","FILENAME_DERIVED_REVIEW_ONLY","AISI Type 316L stainless steel","RELEASED_316L","Default","D:\Marvilon\K01\cad\candidates\gate04d_c2r1\K01-P-007_Hermetic_Magnetic_Can_GATE04D_C2R1_CANDIDATE.SLDPRT","K01-P-007_Hermetic_Magnetic_Can_GATE04D_C2R1_CANDIDATE"
"K01-P-003","1","","Cartridge Body","FILENAME_DERIVED_REVIEW_ONLY","AISI Type 316L stainless steel","RELEASED_316L","Default","D:\Marvilon\K01\cad\candidates\gate04d_c2r1\K01-P-003_Cartridge_Body_GATE04D_C2R1_CANDIDATE.SLDPRT","K01-P-003_Cartridge_Body_GATE04D_C2R1_CANDIDATE"
"K01-P-001","1","","Calibration Rod","FILENAME_DERIVED_REVIEW_ONLY","AISI Type 316L stainless steel","UNCONTROLLED","Default","D:\Marvilon\K01\cad\parts\K01-P-001_Calibration_Rod.SLDPRT","K01-P-001_Calibration_Rod"
"K01-P-004","1","","Front Guide Bushing","FILENAME_DERIVED_REVIEW_ONLY","TECAPEEK PVX black (Ensinger)","UNCONTROLLED","Default","D:\Marvilon\K01\cad\parts\K01-P-004_Front_Guide_Bushing.SLDPRT","K01-P-004_Front_Guide_Bushing"
"K01-P-008","1","","Internal Magnetic Follower","FILENAME_DERIVED_REVIEW_ONLY","1.4404 (X2CrNiMo17-12-2)","UNCONTROLLED","Default","D:\Marvilon\K01\cad\parts\K01-P-008_Internal_Magnetic_Follower.SLDPRT","K01-P-008_Internal_Magnetic_Follower"
"K01-P-013","1","","Follower End Cap","FILENAME_DERIVED_REVIEW_ONLY","AISI Type 316L stainless steel","UNCONTROLLED","Default","D:\Marvilon\K01\cad\parts\K01-P-013_Follower_End_Cap.SLDPRT","K01-P-013_Follower_End_Cap"
"K01-P-006","1","","Retaining Plug","FILENAME_DERIVED_REVIEW_ONLY","AISI Type 316L stainless steel","CAD_ASSIGNED_316L / RELEASE_OPEN","Default","D:\Marvilon\K01\cad\parts\K01-P-006_Retaining_Plug.SLDPRT","K01-P-006_Retaining_Plug"
"K01-P-009","1","","Rear Stop Washer","FILENAME_DERIVED_REVIEW_ONLY","AISI Type 316L stainless steel","UNCONTROLLED","Default","D:\Marvilon\K01\cad\parts\K01-P-009_Rear_Stop_Washer.SLDPRT","K01-P-009_Rear_Stop_Washer"
"K01-P-016","1","","Long Run Interface Boss","FILENAME_DERIVED_REVIEW_ONLY","AISI Type 316L stainless steel","UNCONTROLLED","Default","D:\Marvilon\K01\cad\parts\K01-P-016_Long_Run_Interface_Boss.SLDPRT","K01-P-016_Long_Run_Interface_Boss"
"K01-P-002","1","","Guide Bushing","FILENAME_DERIVED_REVIEW_ONLY","TECAPEEK PVX black (Ensinger)","UNCONTROLLED","Default","D:\Marvilon\K01\cad\parts\K01-P-002_Guide_Bushing.SLDPRT","K01-P-002_Guide_Bushing"
"K01-B-001","1","","Internal SmCo Magnet D8x8 REFERENCE","FILENAME_DERIVED_REVIEW_ONLY","Sm2Co17 S280 — MTS SM-SA-8x8","UNCONTROLLED","Default","D:\Marvilon\K01\cad\parts\K01-B-001_Internal_SmCo_Magnet_D8x8_REFERENCE.SLDPRT","Open CASCADE STEP translator 7.9 1"
"K01-P-014","1","","Front Guide Retaining Ring","FILENAME_DERIVED_REVIEW_ONLY","","OPEN","Default","D:\Marvilon\K01\cad\parts\K01-P-014_Front_Guide_Retaining_Ring.SLDPRT","K01-P-014_Front_Guide_Retaining_Ring"
"K01-P-015","1","","Dual Coil Bobbin","FILENAME_DERIVED_REVIEW_ONLY","PPS","PPS_OBSERVED / PRODUCTION_GRADE_OPEN","Default","D:\Marvilon\K01\cad\parts\K01-P-015_Dual_Coil_Bobbin.SLDPRT","K01-P-015_Dual_Coil_Bobbin"
