PartNo,Qty,Unit,Description,Revision,MaterialProperty,SolidWorksMaterial,MakeBuy,Status,Supplier,SupplierPN,Configuration,Path,IdentitySource,Issues
"K01-P-001_Calibration_Rod",1,"","","","","AISI Type 316L stainless steel","","","","","Default","D:\Marvilon\K01\cad\parts\K01-P-001_Calibration_Rod.SLDPRT","FILENAME_FALLBACK_NONAUTHORITATIVE","Missing PartNo. | Missing Description."
"K01-P-009_Rear_Stop_Washer",1,"","","","","AISI Type 316L stainless steel","","","","","Default","D:\Marvilon\K01\cad\parts\K01-P-009_Rear_Stop_Washer.SLDPRT","FILENAME_FALLBACK_NONAUTHORITATIVE","Missing PartNo. | Missing Description."
"K01-P-002_Guide_Bushing",1,"","","","","TECAPEEK PVX black (Ensinger)","","","","","Default","D:\Marvilon\K01\cad\parts\K01-P-002_Guide_Bushing.SLDPRT","FILENAME_FALLBACK_NONAUTHORITATIVE","Missing PartNo. | Missing Description."
"K01-P-006_Retaining_Plug",1,"","","","","AISI Type 316L stainless steel","","","","","Default","D:\Marvilon\K01\cad\parts\K01-P-006_Retaining_Plug.SLDPRT","FILENAME_FALLBACK_NONAUTHORITATIVE","Missing PartNo. | Missing Description."
"K01-P-014_Front_Guide_Retaining_Ring",1,"","","","","","","","","","Default","D:\Marvilon\K01\cad\parts\K01-P-014_Front_Guide_Retaining_Ring.SLDPRT","FILENAME_FALLBACK_NONAUTHORITATIVE","Missing PartNo. | Missing Description. | Missing material."
"K01-P-004_Front_Guide_Bushing",1,"","","","","TECAPEEK PVX black (Ensinger)","","","","","Default","D:\Marvilon\K01\cad\parts\K01-P-004_Front_Guide_Bushing.SLDPRT","FILENAME_FALLBACK_NONAUTHORITATIVE","Missing PartNo. | Missing Description."
"K01-P-013_Follower_End_Cap",1,"","","","","AISI Type 316L stainless steel","","","","","Default","D:\Marvilon\K01\cad\parts\K01-P-013_Follower_End_Cap.SLDPRT","FILENAME_FALLBACK_NONAUTHORITATIVE","Missing PartNo. | Missing Description."
"K01-P-003_Cartridge_Body_GATE04D_C2_CANDIDATE",1,"","","","","AISI Type 316L stainless steel","","","","","Default","D:\Marvilon\K01\cad\candidates\gate04d_c2\K01-P-003_Cartridge_Body_GATE04D_C2_CANDIDATE.SLDPRT","FILENAME_FALLBACK_NONAUTHORITATIVE","Missing PartNo. | Missing Description."
"K01-P-007_Hermetic_Magnetic_Can_GATE04D_C2_CANDIDATE",1,"","","","","AISI Type 316L stainless steel","","","","","Default","D:\Marvilon\K01\cad\candidates\gate04d_c2\K01-P-007_Hermetic_Magnetic_Can_GATE04D_C2_CANDIDATE.SLDPRT","FILENAME_FALLBACK_NONAUTHORITATIVE","Missing PartNo. | Missing Description."
"K01-P-015_Dual_Coil_Bobbin",1,"","","","","PPS","","","","","Default","D:\Marvilon\K01\cad\parts\K01-P-015_Dual_Coil_Bobbin.SLDPRT","FILENAME_FALLBACK_NONAUTHORITATIVE","Missing PartNo. | Missing Description."
"Open CASCADE STEP translator 7.9 1",1,"","","","","Sm2Co17 S280 — MTS SM-SA-8x8","","","","","Default","D:\Marvilon\K01\cad\parts\K01-B-001_Internal_SmCo_Magnet_D8x8_REFERENCE.SLDPRT","CUSTOM_PROPERTY","Missing Description."
"K01-P-008_Internal_Magnetic_Follower",1,"","","","","1.4404 (X2CrNiMo17-12-2)","","","","","Default","D:\Marvilon\K01\cad\parts\K01-P-008_Internal_Magnetic_Follower.SLDPRT","FILENAME_FALLBACK_NONAUTHORITATIVE","Missing PartNo. | Missing Description."
"K01-P-016_Long_Run_Interface_Boss",1,"","","","","AISI Type 316L stainless steel","","","","","Default","D:\Marvilon\K01\cad\parts\K01-P-016_Long_Run_Interface_Boss.SLDPRT","FILENAME_FALLBACK_NONAUTHORITATIVE","Missing PartNo. | Missing Description."
