test_id,assembly_id,cycle,position,stroke_mm,approach_direction,ambient_C,part_C,P001_diameter_mm,P004_bore_mm,derived_clearance_mm,radial_or_target_error_mm,angular_error,optical_or_reference_value,optical_or_reference_error,binding_or_stick_slip,shaving_scoring_debris,instrument_ids,uncertainty_notes,operator_notes
T-P004-02,,1,OUT,0.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,1,MID,5.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,1,IN,10.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,1,MID,5.000,IN_to_OUT,,,,,,,,,,,,,,
T-P004-02,,1,OUT,0.000,IN_to_OUT,,,,,,,,,,,,,,
T-P004-02,,2,OUT,0.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,2,MID,5.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,2,IN,10.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,2,MID,5.000,IN_to_OUT,,,,,,,,,,,,,,
T-P004-02,,2,OUT,0.000,IN_to_OUT,,,,,,,,,,,,,,
T-P004-02,,3,OUT,0.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,3,MID,5.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,3,IN,10.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,3,MID,5.000,IN_to_OUT,,,,,,,,,,,,,,
T-P004-02,,3,OUT,0.000,IN_to_OUT,,,,,,,,,,,,,,
T-P004-02,,4,OUT,0.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,4,MID,5.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,4,IN,10.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,4,MID,5.000,IN_to_OUT,,,,,,,,,,,,,,
T-P004-02,,4,OUT,0.000,IN_to_OUT,,,,,,,,,,,,,,
T-P004-02,,5,OUT,0.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,5,MID,5.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,5,IN,10.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,5,MID,5.000,IN_to_OUT,,,,,,,,,,,,,,
T-P004-02,,5,OUT,0.000,IN_to_OUT,,,,,,,,,,,,,,
T-P004-02,,6,OUT,0.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,6,MID,5.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,6,IN,10.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,6,MID,5.000,IN_to_OUT,,,,,,,,,,,,,,
T-P004-02,,6,OUT,0.000,IN_to_OUT,,,,,,,,,,,,,,
T-P004-02,,7,OUT,0.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,7,MID,5.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,7,IN,10.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,7,MID,5.000,IN_to_OUT,,,,,,,,,,,,,,
T-P004-02,,7,OUT,0.000,IN_to_OUT,,,,,,,,,,,,,,
T-P004-02,,8,OUT,0.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,8,MID,5.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,8,IN,10.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,8,MID,5.000,IN_to_OUT,,,,,,,,,,,,,,
T-P004-02,,8,OUT,0.000,IN_to_OUT,,,,,,,,,,,,,,
T-P004-02,,9,OUT,0.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,9,MID,5.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,9,IN,10.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,9,MID,5.000,IN_to_OUT,,,,,,,,,,,,,,
T-P004-02,,9,OUT,0.000,IN_to_OUT,,,,,,,,,,,,,,
T-P004-02,,10,OUT,0.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,10,MID,5.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,10,IN,10.000,OUT_to_IN,,,,,,,,,,,,,,
T-P004-02,,10,MID,5.000,IN_to_OUT,,,,,,,,,,,,,,
T-P004-02,,10,OUT,0.000,IN_to_OUT,,,,,,,,,,,,,,
