scenario,z_mm,turns_per_coil,Br_T,mag_mu_r,p007_mu_r,current_A,F0_N,Fplus_N,Fminus_N,Kplus_N_per_A,Kminus_N_per_A,Kmin_N_per_A
CANDIDATE_350_BR1_BOUND,-5,350,1,1.05,1.05,1,-0.031312474296247048,0.97232894020652827,-1.0365125815812251,1.0036414145027752,1.0052001072849781,1.0036414145027752
CANDIDATE_350_BR1_BOUND,-4,350,1,1.05,1.05,1,-0.011094869355643066,1.088133478407928,-1.1117921944834785,1.0992283477635709,1.1006973251278356,1.0992283477635709
CANDIDATE_350_BR1_BOUND,-3,350,1,1.05,1.05,1,-0.010754791831536149,1.1222392919397801,-1.1449261914580997,1.1329940837713162,1.1341713996265637,1.1329940837713162
CANDIDATE_350_BR1_BOUND,-2,350,1,1.05,1.05,1,-0.029839135328877182,1.094843968795163,-1.1554078348979631,1.1246831041240402,1.1255686995690859,1.1246831041240402
CANDIDATE_350_BR1_BOUND,-1,350,1,1.05,1.05,1,-0.0040170001201445954,1.0957213723140959,-1.1041116003807274,1.0997383724342404,1.1000946002605829,1.0997383724342404
CANDIDATE_350_BR1_BOUND,0,350,1,1.05,1.05,1,-0.025926250726989005,1.0623832988167752,-1.1142327228440352,1.0883095495437642,1.0883064721170461,1.0883064721170461
CANDIDATE_350_BR1_BOUND,1,350,1,1.05,1.05,1,-0.013556725229471036,1.0864523845464917,-1.1131258274811762,1.1000091097759628,1.0995691022517051,1.0995691022517051
CANDIDATE_350_BR1_BOUND,2,350,1,1.05,1.05,1,-0.018663165837273607,1.1070912929579471,-1.1435782274705162,1.1257544587952206,1.1249150616332426,1.1249150616332426
CANDIDATE_350_BR1_BOUND,3,350,1,1.05,1.05,1,-0.0010831135441120411,1.1344073030318902,-1.1353352734282716,1.1354904165760022,1.1342521598841595,1.1342521598841595
CANDIDATE_350_BR1_BOUND,4,350,1,1.05,1.05,1,-0.0046563989687387628,1.0963965154669988,-1.1042185272906446,1.1010529144357375,1.0995621283219059,1.0995621283219059
CANDIDATE_350_BR1_BOUND,5,350,1,1.05,1.05,1,0.0034737908504651029,1.0084820436227102,-0.99999759826545964,1.005008252772245,1.0034713891159248,1.0034713891159248
SENSITIVITY_350_BR095,-5,350,0.95,1.05,1.05,1,-0.028259508052420345,0.92516086841609113,-0.98323857732468278,0.95342037646851152,0.95497906927226239,0.95342037646851152
SENSITIVITY_350_BR095,-4,350,0.95,1.05,1.05,1,-0.01001311959342608,1.0342170864205653,-1.055712302991322,1.0442302060139914,1.0456991833978959,1.0442302060139914
SENSITIVITY_350_BR095,-3,350,0.95,1.05,1.05,1,-0.0097061996279425699,1.0666087470266126,-1.0871984621178548,1.0763149466545552,1.0774922624899121,1.0763149466545552
SENSITIVITY_350_BR095,-2,350,0.95,1.05,1.05,1,-0.026929819634227622,1.0414969895078645,-1.096242224261645,1.0684268091420921,1.0693124046274174,1.0684268091420921
SENSITIVITY_350_BR095,-1,350,0.95,1.05,1.05,1,-0.0036253426084025546,1.041117204964781,-1.0487241186118463,1.0447425475731835,1.0450987760034438,1.0447425475731835
SENSITIVITY_350_BR095,0,350,0.95,1.05,1.05,1,-0.023398441281069042,1.0104957098565401,-1.0572895119505139,1.0338941511376092,1.0338910706694449,1.0338910706694449
SENSITIVITY_350_BR095,1,350,0.95,1.05,1.05,1,-0.012234944519616741,1.0327847118228686,-1.0568146056596106,1.0450196563424854,1.0445796611399938,1.0445796611399938
SENSITIVITY_350_BR095,2,350,0.95,1.05,1.05,1,-0.016843507168112695,1.0526442141876942,-1.0854918301701744,1.0694877213558069,1.0686483230020616,1.0686483230020616
SENSITIVITY_350_BR095,3,350,0.95,1.05,1.05,1,-0.00097750997357915425,1.0777693426826582,-1.0784861042566409,1.0787468526562374,1.0775085942830618,1.0775085942830618
SENSITIVITY_350_BR095,4,350,0.95,1.05,1.05,1,-0.0042024000692874753,1.0418351375505748,-1.0487491522832921,1.0460375376198623,1.0445467522140046,1.0445467522140046
SENSITIVITY_350_BR095,5,350,0.95,1.05,1.05,1,0.0031350962425359436,0.95793135998176226,-0.95012430537657966,0.95479626373922633,0.9532594016191156,0.9532594016191156
